"sub","ses","task","datatype","trial_n","cold_t","warm_t","burn_yn","temp_cw"
"5","1","fast","beh",12,18,36.2000007629395,0,1
"5","1","fast","beh",13,6,31.2000007629395,0,0
"5","1","fast","beh",14,24,42.2999992370605,0,1
"5","1","fast","beh",15,21,41.2000007629395,0,1
"5","1","fast","beh",16,0,43.5999984741211,1,1
"5","1","fast","beh",17,18,39.9000015258789,0,1
"5","1","fast","beh",18,24,45.9000015258789,0,1
"5","1","fast","beh",19,9,46.7000007629395,1,0
"5","1","fast","beh",20,9,35.2999992370605,0,0
"5","1","fast","beh",21,6,34.7999992370605,0,0
"5","1","fast","beh",22,9,37.7000007629395,0,0
"5","1","fast","beh",23,6,37.2999992370605,1,1
"5","1","fast","beh",24,0,31.8999996185303,1,1
"5","1","fast","beh",25,0,39.5999984741211,1,1
"5","1","fast","beh",26,12,39,0,1
"5","1","fast","beh",27,18,44.2000007629395,0,1
"5","1","fast","beh",28,15,42.9000015258789,1,1
"5","1","fast","beh",29,18,35.0999984741211,0,1
"5","1","fast","beh",30,12,48.2999992370605,1,1
"5","1","fast","beh",31,3,32.2000007629395,1,0
"5","1","fast","beh",32,18,44.4000015258789,0,1
"5","1","fast","beh",33,12,32.9000015258789,0,1
"5","1","fast","beh",34,21,41.5,0,1
"5","1","fast","beh",35,12,34.5,0,0
"5","1","fast","beh",36,15,37.9000015258789,0,1
"5","1","fast","beh",37,18,46.2999992370605,1,1
"5","1","fast","beh",38,18,45.5999984741211,0,1
"5","1","fast","beh",39,21,48.7999992370605,1,1
"5","1","fast","beh",40,15,38.0999984741211,1,1
"5","1","fast","beh",41,12,46.5999984741211,1,1
"5","1","fast","beh",42,27,45.9000015258789,0,1
"5","1","fast","beh",43,18,45.2000007629395,1,1
"5","1","fast","beh",44,9,37,1,1
"5","1","fast","beh",45,18,38.5999984741211,0,1
"5","1","fast","beh",46,6,33.7999992370605,1,0
"5","1","fast","beh",47,12,39.0999984741211,0,1
"5","1","fast","beh",48,18,44.9000015258789,0,1
"5","1","fast","beh",49,12,34.2000007629395,0,0
"5","1","fast","beh",50,21,42.7000007629395,0,1
"5","1","fast","beh",51,15,42.7999992370605,0,1
"5","1","fast","beh",52,3,30.1000003814697,1,0
"5","1","fast","beh",53,6,38.5999984741211,1,1
"5","1","fast","beh",54,12,40,0,1
"5","1","fast","beh",55,12,45.2000007629395,1,1
"5","1","fast","beh",56,18,41.2000007629395,0,1
"5","1","fast","beh",57,15,47.7000007629395,1,1
"5","1","fast","beh",58,15,47.2000007629395,1,1
"5","1","fast","beh",59,15,46.7000007629395,1,1
"5","1","fast","beh",60,21,47.9000015258789,1,1
"5","1","fast","beh",61,12,43,0,1
"5","1","fast","beh",62,12,44.5,1,1
"5","1","fast","beh",63,15,46.9000015258789,1,1
"5","1","fast","beh",64,9,32.7999992370605,0,0
"5","1","fast","beh",65,24,50,1,1
"5","1","fast","beh",66,6,36.9000015258789,1,0
"5","1","fast","beh",67,12,39.9000015258789,0,0
"5","1","fast","beh",68,24,46.7000007629395,1,1
"5","1","fast","beh",69,15,46.2999992370605,0,1
"5","1","fast","beh",70,6,33.7000007629395,1,0
"5","1","fast","beh",71,21,47.4000015258789,1,1
"5","1","fast","beh",72,12,44.7000007629395,1,1
"5","1","fast","beh",73,27,46.5,1,1
"5","1","fast","beh",74,9,42.0999984741211,0,1
"5","1","fast","beh",75,15,42.0999984741211,0,0
"5","1","fast","beh",76,6,39.5,1,1
"5","1","fast","beh",77,21,46.7000007629395,1,1
"5","1","fast","beh",78,21,46.5,0,1
"5","1","fast","beh",79,24,43.2999992370605,0,1
"5","1","fast","beh",80,15,36.7999992370605,0,0
"5","1","fast","beh",81,27,45.7000007629395,1,1
"5","1","fast","beh",82,15,36.5999984741211,1,0
"5","1","fast","beh",83,12,45.0999984741211,1,1
"5","1","fast","beh",84,18,49.7000007629395,1,1
"5","1","fast","beh",85,12,33.7999992370605,0,0
"5","1","fast","beh",86,15,47.4000015258789,1,1
"5","1","fast","beh",87,9,42.2000007629395,1,1
"5","1","fast","beh",88,27,44.5,0,1
"5","1","fast","beh",89,3,35.2000007629395,1,0
"5","1","fast","beh",90,18,49.5999984741211,1,1
"5","1","fast","beh",91,18,49.5,1,1
"5","1","fast","beh",92,18,38.5,0,0
"5","1","fast","beh",93,6,33.2999992370605,0,0
"5","1","fast","beh",94,18,49.5999984741211,1,1
"5","1","fast","beh",95,18,49.5,1,1
"5","1","fast","beh",96,9,42.0999984741211,0,0
"5","1","fast","beh",97,12,34.0999984741211,0,0
"5","1","fast","beh",98,9,42.4000015258789,0,1
"5","1","fast","beh",99,15,42.0999984741211,0,1
"5","1","fast","beh",100,9,31.8999996185303,1,0
"6","1","fast","beh",1,27,35,0,0
"6","1","fast","beh",2,6,32.0999984741211,0,0
"6","1","fast","beh",3,21,48.4000015258789,1,1
"6","1","fast","beh",4,15,42.0999984741211,1,0
"6","1","fast","beh",5,21,42.2999992370605,0,1
"6","1","fast","beh",6,9,37.4000015258789,0,0
"6","1","fast","beh",7,15,41,0,0
"6","1","fast","beh",8,15,44.7000007629395,1,1
"6","1","fast","beh",9,24,45.2999992370605,0,1
"6","1","fast","beh",10,15,40.5,0,0
"6","1","fast","beh",11,18,43.7000007629395,0,0
"6","1","fast","beh",12,3,35.9000015258789,1,1
"6","1","fast","beh",13,15,42,1,1
"6","1","fast","beh",14,18,43.7000007629395,1,1
"6","1","fast","beh",15,15,41.5999984741211,1,1
"6","1","fast","beh",16,3,34.7000007629395,1,1
"6","1","fast","beh",17,9,41.2000007629395,0,1
"6","1","fast","beh",18,18,42.0999984741211,0,1
"6","1","fast","beh",19,0,32.9000015258789,1,1
"6","1","fast","beh",20,15,40.7999992370605,1,1
"6","1","fast","beh",21,21,44.2000007629395,1,1
"6","1","fast","beh",22,9,49.4000015258789,1,1
"6","1","fast","beh",23,18,40.5999984741211,0,0
"6","1","fast","beh",24,12,48.9000015258789,1,1
"6","1","fast","beh",25,21,34.0999984741211,0,1
