"sub","ses","task","datatype","trial_n","quality","threshold","threshold_se","slope","slope_se","response","stim"
30,1,"psi","beh",26,"cold",12.2835318490562,1.30333173855741,0.644844795674287,0.363998402035326,0,13.6999998092651
30,1,"psi","beh",27,"cold",12.5522282532246,1.6543896371093,0.4986871819649,0.40248479959655,1,13.3000001907349
30,1,"psi","beh",28,"cold",12.9154030433505,2.4960268145936,0.31556863459285,0.524256090028261,1,14.5
30,1,"psi","beh",29,"cold",12.7809993456821,1.99846536621897,0.374678175179962,0.440774067652823,0,16.3999996185303
30,1,"psi","beh",30,"cold",12.6874139684495,1.63270752968708,0.425338466425354,0.376133568975019,0,15.6000003814697
30,1,"psi","beh",31,"cold",12.7549788766637,1.35678541858929,0.470249414179972,0.325352158643114,1,10.1999998092651
30,1,"psi","beh",32,"cold",13.0576963117573,1.91458381742437,0.346983927186842,0.407567978001145,1,14.6999998092651
30,1,"psi","beh",33,"cold",13.5220986911845,3.0556116913509,0.200790906226837,0.569238076603921,1,16.2000007629395
30,1,"psi","beh",34,"cold",14.4714663570253,5.1896943762814,0.0637227640032743,0.765222186615286,1,19.7000007629395
30,1,"psi","beh",35,"cold",14.1203055088572,4.40542470408166,0.0934947981147954,0.688537438618141,0,28.1000003814697
30,1,"psi","beh",36,"cold",13.8536116258905,3.68170860010981,0.127074149144243,0.602228070544725,0,25.2999992370605
30,1,"psi","beh",37,"cold",13.6581915543192,3.06084770086926,0.161054465429308,0.519583988786354,0,22.7000007629395
30,1,"psi","beh",38,"cold",13.5097790485832,2.55922776091722,0.193397322186419,0.448925868276097,0,20.3999996185303
30,1,"psi","beh",39,"cold",13.3923617330606,2.16758677825699,0.223277192320288,0.39180775976513,0,18.8999996185303
30,1,"psi","beh",40,"cold",13.2949311209506,1.86555186069859,0.250761958595969,0.346940057072746,0,17.8999996185303
30,1,"psi","beh",41,"cold",13.3847981932739,1.59509001571501,0.276032486783739,0.306497430230471,1,8.80000019073486
30,1,"psi","beh",42,"cold",13.2866400464042,1.40586657118546,0.300323787791004,0.279792225218292,0,16.7999992370605
